0,11,0.003086
0,41,0.001765
0,1,0.001599
0,32,0.001430
0,9,0.001427
0,13,0.001306
0,12,0.001226
0,15,0.001096
0,17,0.000978
0,8,0.000793
0,21,0.000792
0,5,0.000744
1,15,0.004891
1,13,0.004720
1,9,0.003378
1,14,0.002386
1,17,0.001583
1,41,0.001414
1,5,0.001310
1,7,0.001153
1,8,0.001026
1,3,0.000925
1,0,0.000875
1,34,0.000803
2,13,0.006605
2,9,0.005240
2,0,0.004145
2,12,0.004099
2,1,0.003736
2,11,0.002759
2,5,0.002612
2,14,0.002353
2,15,0.002236
2,18,0.002147
2,4,0.002144
2,17,0.001860
2,8,0.001843
2,16,0.001606
2,7,0.001560
2,10,0.001512
2,3,0.001489
2,6,0.001117
3,13,0.008070
3,15,0.006952
3,1,0.005855
3,9,0.003397
3,14,0.002848
3,10,0.001474
3,5,0.001157
3,17,0.001116
3,18,0.001107
3,11,0.001061
3,0,0.001049
3,7,0.001017
3,32,0.000859
4,5,0.007028
4,1,0.006441
4,9,0.005786
4,13,0.005317
4,15,0.004901
4,17,0.004511
4,14,0.003871
4,10,0.003034
4,16,0.002847
4,18,0.002537
4,8,0.002314
4,2,0.002303
4,43,0.002021
4,11,0.001943
4,0,0.001855
4,7,0.001791
4,12,0.001783
4,6,0.001605
4,41,0.001576
5,14,0.003905
5,13,0.002218
5,1,0.001359
5,17,0.001279
5,41,0.001221
5,15,0.001162
5,9,0.000945
5,7,0.000770
5,32,0.000721
5,11,0.000714
6,8,0.019171
6,7,0.011442
6,13,0.009757
6,12,0.006900
6,0,0.004541
6,9,0.004486
6,1,0.004099
6,2,0.003600
6,15,0.003341
6,18,0.003078
6,14,0.002911
6,5,0.002823
6,17,0.002805
6,16,0.002376
6,10,0.002308
6,41,0.002243
6,11,0.002221
6,4,0.001794
7,13,0.001801
7,8,0.001542
7,1,0.001349
7,14,0.001304
7,6,0.000874
7,41,0.000849
7,17,0.000833
8,13,0.008852
8,1,0.006474
8,7,0.006211
8,9,0.004330
8,15,0.003889
8,6,0.003789
8,14,0.003739
8,12,0.002946
8,17,0.002546
8,5,0.002468
8,3,0.001887
8,0,0.001786
8,11,0.001635
8,34,0.001572
8,10,0.001337
8,18,0.001276
8,2,0.001256
8,16,0.001055
8,47,0.001042
8,4,0.001020
8,21,0.000974
8,41,0.000873
8,45,0.000839
8,32,0.000812
8,29,0.000768
9,15,0.005889
9,1,0.004664
9,13,0.003888
9,14,0.003362
9,17,0.002188
9,5,0.001410
9,0,0.001179
9,11,0.001167
9,3,0.001147
9,8,0.001044
9,10,0.001039
9,7,0.000999
9,12,0.000994
9,16,0.000755
10,13,0.008434
10,14,0.007988
10,15,0.007544
10,9,0.007066
10,1,0.006669
10,17,0.004946
10,3,0.004231
10,5,0.003144
10,4,0.002596
10,16,0.002516
10,7,0.002401
10,8,0.002231
10,11,0.001868
10,2,0.001836
10,18,0.001631
10,0,0.001434
10,12,0.001116
10,38,0.001074
10,6,0.001069
10,45,0.000932
11,0,0.003475
11,15,0.002290
11,13,0.002164
11,41,0.001798
11,12,0.001620
11,32,0.001339
11,9,0.001299
11,17,0.001218
11,5,0.001154
11,1,0.001066
11,14,0.001045
11,2,0.000772
11,43,0.000771
12,9,0.002667
12,0,0.002183
12,13,0.001973
12,41,0.001673
12,1,0.001402
12,15,0.001381
12,14,0.001339
12,11,0.001293
12,17,0.001289
12,5,0.001128
12,21,0.001010
12,2,0.000989
12,18,0.000981
12,7,0.000952
12,32,0.000884
13,1,0.003690
13,15,0.002383
13,9,0.002036
13,14,0.001939
13,17,0.001496
13,5,0.001463
13,7,0.001332
13,41,0.001257
13,3,0.001224
13,8,0.000953
13,12,0.000840
13,11,0.000808
13,0,0.000752
14,5,0.008306
14,13,0.005872
14,9,0.005570
14,1,0.005281
14,15,0.005276
14,7,0.002509
14,17,0.001981
14,8,0.001023
14,16,0.000958
14,10,0.000955
14,11,0.000887
14,41,0.000836
14,0,0.000768
14,18,0.000752
15,1,0.003922
15,9,0.002744
15,13,0.002217
15,14,0.001898
15,17,0.001420
15,41,0.000993
15,5,0.000849
15,3,0.000849
15,32,0.000818
16,15,0.005875
16,9,0.005692
16,5,0.004804
16,17,0.004269
16,1,0.003769
16,14,0.003549
16,13,0.003410
16,0,0.003314
16,4,0.003124
